Date,Open,High,Low,Close
2019-03-20 14:30,966.17,966.54,965.46,965.77
2019-03-20 14:15,966.7,966.7,965.39,966.02
2019-03-20 14:00,962.99,966.86,962.99,966.37
2019-03-20 13:45,962.69,962.82,962.45,962.68
2019-03-20 13:30,961.99,962.81,961.99,962.67
2019-03-20 13:15,962.31,962.42,961.86,961.99
2019-03-20 13:00,961.92,962.39,961.79,962.31
2019-03-20 12:45,962.25,962.28,961.84,961.94
2019-03-20 12:30,963.39,963.39,961.98,962.25
2019-03-20 12:15,963.78,963.94,963.02,963.39
2019-03-20 12:00,962.26,963.95,962.26,963.7
2019-03-20 11:45,963.49,963.75,962.15,962.16
2019-03-20 11:30,964.65,964.83,963.5,963.5
2019-03-20 11:15,964.49,964.97,964.29,964.69
2019-03-20 11:00,963.82,964.89,963.82,964.52
2019-03-20 10:45,963.27,964.1,963.12,963.83
2019-03-20 10:30,962.72,963.36,961.83,963.34
2019-03-20 10:15,961.82,962.45,961.47,962.43
2019-03-20 10:00,962.26,962.84,961.6,961.73
2019-03-20 9:45,961.57,962.77,961.27,962.33
2019-03-20 9:30,964.34,964.34,961.27,961.46
2019-03-19 16:15,965.74,965.74,965.74,965.74
2019-03-19 16:00,965.74,965.74,965.74,965.74
2019-03-19 15:45,965.74,966.44,965.66,966.33
2019-03-19 15:30,966.88,967.14,965.55,965.76
2019-03-19 15:15,967.16,967.17,966.7,966.88
2019-03-19 15:00,967.81,967.92,967.15,967.15
2019-03-19 14:45,968.8,968.85,967.82,967.82
2019-03-19 14:30,968.57,968.91,968.57,968.91
2019-03-19 14:15,968.31,968.54,968.04,968.54
2019-03-19 14:00,968.53,968.8,968.33,968.33
2019-03-19 13:45,969.14,969.14,968.42,968.53
2019-03-19 13:30,968.67,969.38,968.66,969.14
2019-03-19 13:15,969.35,969.35,968.58,968.71
2019-03-19 13:00,969.23,969.39,968.7,969.39
2019-03-19 12:45,970.33,970.35,967.79,968.8
2019-03-19 12:30,970.62,970.65,970.32,970.34
2019-03-19 12:15,970.93,970.93,970.4,970.67
2019-03-19 12:00,971.04,971.31,970.59,970.93
2019-03-19 11:45,969.64,971.01,969.61,970.99
2019-03-19 11:30,968.81,969.83,968.67,969.66
